"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/25/2019","Wal-Mart","WAL-MART #1749","156.00","debit","Home Supplies/Servic","Venture","",""
"5/24/2019","Liberty","LIBERTY CAFE W10183481","6.80","debit","Fast Food","Venture","",""
"5/24/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"5/23/2019","Chili's","CHILI'S 0828 ECOMM","34.65","debit","Restaurants","Venture","",""
"5/23/2019","iTunes","APL*ITUNES.COM/BILL","0.99","debit","Music","Venture","",""
"5/23/2019","Amazon","AMAZON.COM*MN0OR0SM1 AMZN","13.90","debit","Groceries","Venture","",""
"5/23/2019","Level Up","LEVELUP*TROPICALSMOOTH","13.06","debit","Fast Food","Venture","",""
"5/23/2019","McDonald's","MCDONALD'S F25743","16.94","debit","Fast Food","Venture","",""
"5/23/2019","iTunes","APL* ITUNES.COM/BILL","4.83","credit","Music","Venture","",""
"5/22/2019","Wal-Mart","WM SUPERCENTER #2330","42.78","debit","Shopping","Venture","",""
"5/22/2019","Liberty Mutual","LIBERTY MUTUAL RECUR","150.59","debit","Auto Insurance","Venture","",""
"5/22/2019","ROGER S PIZZA","ROGER S PIZZA","16.07","debit","Restaurants","Venture","",""
"5/21/2019","Level Up","LEVELUP*TROPICALSMOOTH","6.53","debit","Fast Food","Venture","",""
"5/21/2019","Hannaford","HANNAFORD #8315","6.19","debit","Groceries","Venture","",""
"5/21/2019","iTunes","APL* ITUNES.COM/BILL","5.99","debit","Music","Venture","",""
"5/20/2019","AROMA JOES COFFEE - 3","AROMA JOES COFFEE - 3","11.72","debit","Coffee Shops","Venture","",""
"5/18/2019","THE SHED RESTAURANT","THE SHED RESTAURANT","26.00","debit","Restaurants","Venture","",""
"5/18/2019","TIYANA.LAPANNE.BEAUTY","SQ *TIYANA.LAPANNE.BEAUTY","97.75","debit","Hair","Venture","",""
"5/18/2019","THE SHED RESTAURANT","THE SHED RESTAURANT","55.00","debit","Restaurants","Venture","",""
"5/18/2019","Burger King","BURGER KING #3617","9.47","debit","Fast Food","Venture","",""
"5/17/2019","EXTREME HAIR","EXTREME HAIR","17.95","debit","Hair","Venture","",""
"5/17/2019","Chili's","CHILI'S 0828 ECOMM","12.40","debit","Restaurants","Venture","",""
"5/17/2019","Travel Reward","CREDIT-TRAVEL REWARD","100.00","credit","Credit Card Rewards","Venture","",""
